Subject,Condition,Highest_nBack,RPM,BEAST,Grip_Strength,nodule_number,Order,Used,Total_Cores_Used,Cores_Used,end_mass,maxlength,maxwidth,maxthickness,edge_angle_goniometer,edge_angle_calliper,edge_angle_degree,start_mass,Proportion_Mass_Removed
20,1,5,6,0.0388,27.4,165,4,1,8, , ,153.77,100.85,70.62,94,2.43,78.0149451,1025.6, 
20,1,5,6,0.0388,27.4,192,7,1,8, , ,157.25,129.57,76.05,92,2.61,82.04653805,1456, 
20,1,5,6,0.0388,27.4,201,6,1,8, , ,174.69,120.47,68.83,57,1.42,50.65950822,937.6, 
20,1,5,6,0.0388,27.4,206,5,1,8, , ,159.56,104.85,69.55,68,2.07,69.2113511,936.5, 
20,1,5,6,0.0388,27.4,212,3,1,8, , ,127.48,94.5,76.01,90,2.5,79.61114218,925.7, 
20,1,5,6,0.0388,27.4,230, ,0,8, , ,166.45,90.58,54.02,75,2.13,70.74950369,814.1, 
21,0,3,5,0.2816,33.9,143,1,1,3, , ,114.23,91.21,82.12,99,2.99,89.8086954,613, 
21,0,3,5,0.2816,33.9,164, ,0,3, , ,172.59,114.67,81.88,73,2.08,69.46971908,1543.7, 
21,0,3,5,0.2816,33.9,167, ,0,3, , ,134.51,113.31,80.06,60,1.62,56.73809259,1085.4, 
21,0,3,5,0.2816,33.9,173, ,0,3, , ,135.23,77.35,73.67,63,1.84,63.04435449,644.1, 
21,0,3,5,0.2816,33.9,193, ,0,3, , ,141.5,133.77,85.3,72,2.3,74.95235912,1353.9, 
21,0,3,5,0.2816,33.9,202,2,1,3, , ,153.8,122.99,72.59,60,1.53,54.04316318,1420.8, 
21,0,3,5,0.2816,33.9,210,3,1,3,3, ,152.82,123.15,62.05,53,1.2,43.60281897,886, 
21,0,3,5,0.2816,33.9,221, ,0,3, , ,134.38,104.24,78.93,85,2.1,69.9840404,1006.4, 
21,0,3,5,0.2816,33.9,232, ,0,3, , ,134.09,98.56,40.86,78,1.54,54.34588229,626.6, 
 , , , , , ,149, , , , , ,121.28,80.64,83.06,83,2.25,73.73979529,827.1, 
 , , , , , ,168, , , , , ,157.89,106.32,68.88,89,2.29,74.71140155,992.5, 
 , , , , , ,169, , , , , ,153.78,127.04,72.56,86,2.32,75.43195269,1278.5, 
 , , , , , ,174, , , , , ,153.78,75.37,69.48,63,2.06,68.95217672,708.3, 
 , , , , , ,204, , , , , ,185.4,93.51,70.87,89,1.9,64.694887,1019.5, 
 , , , , , ,207, , , , , ,140.41,116.28,79.91,82,2.3,74.95235912,1095.6, 
 , , , , , ,223, , , , , ,163.87,104.5,57.36,57,1.44,51.28201165,680.3, 
 , , , , , ,228, , , , , ,119.12,119.12,70.52,80,2.4,77.31961651,774.3, 
23,0, ,9,0.3618,22.8,6,1,1,6, , ,149,117,99,72,2.18,72.00930999,988.1, 
23,0,5,9,0.3618,22.8,16,6,1,6,6, ,151,97,73,39,1.09,39.93554079,1001.1, 
23,0, ,9,0.3618,22.8,172,3,1,6, , ,141.44,82.06,64.74,90,2.66,83.12467002,925, 
23,0, ,9,0.3618,22.8,176,5,1,6, , ,170.62,139.63,84.97,70,1.97,66.58314324,1323.2, 
23,0, ,9,0.3618,22.8,211, ,0,6, , ,146.13,109.88,84.77,72,2.08,69.46971908,1533.8, 
